celeb,height,weight,h,w,BMI,round(BMI)
Mariah Carey11.jpg,1.70 m,66 kg,1.7,66,22.83737024,22.84
Lily Collins5.jpg,1.65m,51kg,1.65,51,18.73278237,18.73
Pixie Lott10.jpg,1.66 m,54 kg,1.66,54,19.59645812,19.6
Ludacris0.jpg,1.73m,76kg,1.73,76,25.39343112,25.39
Red Buttons14.jpg,1.60 m,95 kg,1.6,95,37.109375,37.11
Linda Hunt17.jpg,1.45m,40kg,1.45,40,19.02497027,19.02
Ludacris5.jpg,1.73m,76kg,1.73,76,25.39343112,25.39
Paris Jackson12.jpg,1.68 m,55 kg,1.68,55,19.48696145,19.49
Kevin Spacey18.jpg,1.78m,72kg,1.78,72,22.72440348,22.72
Novak Djokovic9.jpg,1.88 m,77 kg,1.88,77,21.78587596,21.79
Rachel Riley15.jpg,1.63 m,54 kg,1.63,54,20.32443826,20.32
Peter Fonda7.jpg,1.35 m,50 kg,1.35,50,27.43484225,27.43
Parker Posey4.jpg,1.75 m,56 kg,1.75,56,18.28571429,18.29
Margot Robbie0.jpg,1.68 m,57 kg,1.68,57,20.19557823,20.2
Maika Dillon Monroe2.jpg,1.73m,54kg,1.73,54,18.04270106,18.04
Mads Mikkelsen1.jpg,1.83m,82kg,1.83,82,24.48565201,24.49
Lady Gaga17.jpg,1.55m,53kg,1.55,53,22.0603538,22.06
Robert Pattinson0.jpg,1.83 m,86 kg,1.83,86,25.68007405,25.68
Queen Latifah9.jpg,1.68 m,57 kg,1.68,57,20.19557823,20.2
Rita Moreno7.jpg,1.68 m,54 kg,1.68,54,19.13265306,19.13
Rob Gronkowski1.jpg,1.73 m,61 kg,1.73,61,20.38156971,20.38
Lady Gaga15.jpg,1.55m,53kg,1.55,53,22.0603538,22.06
Lily Aldridge5.jpg,1.75m,54kg,1.75,54,17.63265306,17.63
Paul Rudd3.jpg,1.77 m,72 kg,1.77,72,22.98190175,22.98
Mark Ruffalo6.jpg,1.73 m,77 kg,1.73,77,25.72755521,25.73
Robin Williams19.jpg,1.70 m,59 kg,1.7,59,20.41522491,20.42
Liam Hemsworth8.jpg,1.91m,89kg,1.91,89,24.39626107,24.4
Kevin Costner9.jpg,1.85m,88kg,1.85,88,25.71219869,25.71
Kevin James6.jpg,1.72m,113kg,1.72,113,38.19632234,38.2
Robin Weigert19.jpg,1.68 m,66 kg,1.68,66,23.38435374,23.38
Kim Basinger12.jpg,1.71m,54kg,1.71,54,18.46722068,18.47
Paul Giamatti17.jpg,1.80 m,68 kg,1.8,68,20.98765432,20.99
Red Buttons0.jpg,1.60 m,95 kg,1.6,95,37.109375,37.11
Ralph Fiennes1.jpg,1.68 m,57 kg,1.68,57,20.19557823,20.2
Lake Bell2.jpg,1.73m,59kg,1.73,59,19.71332153,19.71
Liam Neeson12.jpg,1.93m,93kg,1.93,93,24.96711321,24.97
Richard Dreyfuss11.jpg,1.78 m,82 kg,1.78,82,25.88057064,25.88
Louise Fletcher15.jpg,1.70m,61kg,1.7,61,21.10726644,21.11
Leighton Meester2.jpg,1.65m,53kg,1.65,53,19.46740129,19.47
Pauline Collins8.jpg,1.68 m,57 kg,1.68,57,20.19557823,20.2
Red Buttons5.jpg,1.60 m,95 kg,1.6,95,37.109375,37.11
Roberto Benigni4.jpg,1.78 m,73 kg,1.78,73,23.0400202,23.04
Patrick Swayze6.jpg,1.79 m,72 kg,1.79,72,22.47120876,22.47
olivia holt0.jpg,1.73 m,78 kg,1.73,78,26.06167931,26.06
Lynn Redgrave1.jpg,1.78m,73kg,1.78,73,23.0400202,23.04
Kevin Kiley Jr4.jpg,1.93m,122kg,1.93,122,32.75255712,32.75
Leighton Meester7.jpg,1.65m,53kg,1.65,53,19.46740129,19.47
Patrick Swayze8.jpg,1.79 m,72 kg,1.79,72,22.47120876,22.47
Novak Djokovic8.jpg,1.88 m,77 kg,1.88,77,21.78587596,21.79
Margot Robbie11.jpg,1.68 m,57 kg,1.68,57,20.19557823,20.2
Kim Kardashian West1.jpg,1.59m,56kg,1.59,56,22.15102251,22.15
Laura Dern9.jpg,1.78m,61kg,1.78,61,19.25261962,19.25
Rita Hayworth11.jpg,1.69 m,50 kg,1.69,50,17.50638983,17.51
Lily Tomlin13.jpg,1.73m,63kg,1.73,63,21.0498179,21.05
Kevin Kiley Jr18.jpg,1.93m,122kg,1.93,122,32.75255712,32.75
Peter O Toole10.jpg,1.88 m,77 kg,1.88,77,21.78587596,21.79
Lynn Redgrave13.jpg,1.78m,73kg,1.78,73,23.0400202,23.04
Pixie Lott1.jpg,1.66 m,54 kg,1.66,54,19.59645812,19.6
Lily Tomlin15.jpg,1.73m,63kg,1.73,63,21.0498179,21.05
Ralph Fiennes4.jpg,1.68 m,57 kg,1.68,57,20.19557823,20.2
Khloe Kardashian1.jpg,1.77m,76kg,1.77,76,24.25867407,24.26
Peter O Toole3.jpg,1.88 m,77 kg,1.88,77,21.78587596,21.79
Penelope Cruz10.jpg,1.63 m,59 kg,1.63,59,22.20633069,22.21
Liv Tyler6.jpg,1.78m,61kg,1.78,61,19.25261962,19.25
Rachel Griffiths8.jpg,1.85 m,91 kg,1.85,91,26.58875091,26.59
Noah Mills4.jpg,1.88 m,80 kg,1.88,80,22.63467632,22.63
Paul McCartney7.jpg,1.72 m,86 kg,1.72,86,29.06976744,29.07
Rachel Riley16.jpg,1.63 m,54 kg,1.63,54,20.32443826,20.32
Ralph Fiennes8.jpg,1.68 m,57 kg,1.68,57,20.19557823,20.2
Paul Dano11.jpg,1.90 m,84 kg,1.9,84,23.26869806,23.27
Liev Schreiber18.jpg,1.92m,84kg,1.92,84,22.78645833,22.79
Ludacris3.jpg,1.73m,76kg,1.73,76,25.39343112,25.39
Robert Pattinson14.jpg,1.83 m,86 kg,1.83,86,25.68007405,25.68
Mads Mikkelsen16.jpg,1.83m,82kg,1.83,82,24.48565201,24.49
Rebel Wilson5.jpg,1.80 m,59 kg,1.8,59,18.20987654,18.21
Robert Duvall9.jpg,1.74 m,78 kg,1.74,78,25.76298058,25.76
LeBron Jamet2.jpg,2.06m,113kg,2.06,113,26.62833443,26.63
Kevin Kiley Jr11.jpg,1.93m,122kg,1.93,122,32.75255712,32.75
Philip Seymour Hoffman19.jpg,1.91 m,91 kg,1.91,91,24.94449165,24.94
Paris Jackson1.jpg,1.68 m,55 kg,1.68,55,19.48696145,19.49
Richard Burton17.jpg,1.88 m,78 kg,1.88,78,22.06880942,22.07
Paul Scofield2.jpg,1.78 m,77 kg,1.78,77,24.30248706,24.3
Lesley Manville5.jpg,1.63m,60kg,1.63,60,22.58270917,22.58
Liam Hemsworth4.jpg,1.91m,89kg,1.91,89,24.39626107,24.4
Laura Dern10.jpg,1.78m,61kg,1.78,61,19.25261962,19.25
Olympia Dukakis6.jpg,1.71 m,52 kg,1.71,52,17.78324955,17.78
Richard Gere16.jpg,1.83 m,91 kg,1.83,91,27.17310162,27.17
Rashida Jones19.jpg,1.68 m,64 kg,1.68,64,22.67573696,22.68
Phil Mickelson14.jpg,1.87 m,100 kg,1.87,100,28.59675713,28.6
Rebecca Hall5.jpg,1.75 m,102 kg,1.75,102,33.30612245,33.31
Marisa Tomei2.jpg,1.57 m,54 kg,1.57,54,21.90758246,21.91
Lee Marvin10.jpg,1.88m,86kg,1.88,86,24.33227705,24.33
Klaus Kinski3.jpg,1.65m,61kg,1.65,61,22.40587695,22.41
Red Buttons16.jpg,1.60 m,95 kg,1.6,95,37.109375,37.11
Linda Hamilton10.jpg,1.68m,59kg,1.68,59,20.90419501,20.9
Kourtney Kardashian17.jpg,1.52m,48kg,1.52,48,20.77562327,20.78
Patrick Swayze13.jpg,1.79 m,72 kg,1.79,72,22.47120876,22.47
Pierce Brosnan9.jpg,1.77 m,70 kg,1.77,70,22.34351559,22.34
LeBron Jamet12.jpg,2.06m,113kg,2.06,113,26.62833443,26.63
Pete Postlethwaite7.jpg,1.78 m,77 kg,1.78,77,24.30248706,24.3
Noomi Rapace13.jpg,1.57 m,51 kg,1.57,51,20.69049454,20.69
Laura Marano9.jpg,1.55m,50kg,1.55,50,20.81165453,20.81
Peter Sarsgaard6.jpg,1.88 m,82 kg,1.88,82,23.20054323,23.2
Kristen Bell2.jpg,1.55m,48kg,1.55,48,19.97918835,19.98
Piper Perabo4.jpg,1.65 m,59 kg,1.65,59,21.67125803,21.67
Lena Dunham13.jpg,1.60m,63kg,1.6,63,24.609375,24.61
Piper Laurie19.jpg,1.86 m,86 kg,1.86,86,24.85836513,24.86
Lili Taylor0.jpg,1.60m,54kg,1.6,54,21.09375,21.09
Richard Dreyfuss15.jpg,1.78 m,82 kg,1.78,82,25.88057064,25.88
Pierce Brosnan2.jpg,1.77 m,70 kg,1.77,70,22.34351559,22.34
Rita Moreno6.jpg,1.68 m,54 kg,1.68,54,19.13265306,19.13
Pierce Brosnan4.jpg,1.77 m,70 kg,1.77,70,22.34351559,22.34
Liv Ullmann11.jpg,1.78m,64kg,1.78,64,20.19946976,20.2
Lindsey Vonn19.jpg,1.78m,73kg,1.78,73,23.0400202,23.04
Oprah Winfrey3.jpg,1.63 m,58 kg,1.63,58,21.8299522,21.83
Rob Gronkowski2.jpg,1.73 m,61 kg,1.73,61,20.38156971,20.38
Pixie Lott16.jpg,1.66 m,54 kg,1.66,54,19.59645812,19.6
Richard Gere15.jpg,1.83 m,91 kg,1.83,91,27.17310162,27.17
Lesley Manville12.jpg,1.63m,60kg,1.63,60,22.58270917,22.58
Lionel Messi0.jpg,1.70m,72kg,1.7,72,24.91349481,24.91
Paris Hilton15.jpg,1.73 m,63 kg,1.73,63,21.0498179,21.05
Liv Ullmann5.jpg,1.78m,64kg,1.78,64,20.19946976,20.2
Lake Bell11.jpg,1.73m,59kg,1.73,59,19.71332153,19.71
Liza Minnelli9.jpg,1.63m,52kg,1.63,52,19.57168128,19.57
Richard Farnsworth4.jpg,1.85 m,78 kg,1.85,78,22.79035793,22.79
Paul Giamatti0.jpg,1.80 m,68 kg,1.8,68,20.98765432,20.99
Leighton Meester16.jpg,1.65m,53kg,1.65,53,19.46740129,19.47
Lisa Kudrow7.jpg,1.73m,61kg,1.73,61,20.38156971,20.38
Kristen Stewart11.jpg,1.65m,54kg,1.65,54,19.83471074,19.83
Paul Bettany9.jpg,1.57 m,49 kg,1.57,49,19.8791026,19.88
Rob Gronkowski10.jpg,1.73 m,61 kg,1.73,61,20.38156971,20.38
Leslie Mann6.jpg,1.69m,56kg,1.69,56,19.60715661,19.61
Mark Rylance17.jpg,1.82 m,80 kg,1.82,80,24.1516725,24.15
Patricia Clarkson18.jpg,1.60 m,58 kg,1.6,58,22.65625,22.66
Peter Dinklage14.jpg,1.77 m,73 kg,1.77,73,23.30109483,23.3
Rashida Jones4.jpg,1.68 m,64 kg,1.68,64,22.67573696,22.68
Liv Ullmann15.jpg,1.78m,64kg,1.78,64,20.19946976,20.2
Noomi Rapace12.jpg,1.57 m,51 kg,1.57,51,20.69049454,20.69
Marisa Tomei7.jpg,1.57 m,54 kg,1.57,54,21.90758246,21.91
Lily Donaldson3.jpg,1.78m,55kg,1.78,55,17.35891933,17.36
Lily Collins6.jpg,1.65m,51kg,1.65,51,18.73278237,18.73
Patricia Neal4.jpg,1.68 m,57 kg,1.68,57,20.19557823,20.2
Robin Williams8.jpg,1.70 m,59 kg,1.7,59,20.41522491,20.42
Richard E. Grant6.jpg,1.65 m,68 kg,1.65,68,24.97704316,24.98
Patricia Clarkson0.jpg,1.60 m,58 kg,1.6,58,22.65625,22.66
Mandy Moore19.jpg,1.76m,59kg,1.76,59,19.04700413,19.05
Lance Henriksen1.jpg,1.80m,75kg,1.8,75,23.14814815,23.15
Lynn Redgrave8.jpg,1.78m,73kg,1.78,73,23.0400202,23.04
Lionel Messi1.jpg,1.70m,72kg,1.7,72,24.91349481,24.91
Richard Gere18.jpg,1.83 m,91 kg,1.83,91,27.17310162,27.17
Ludacris8.jpg,1.73m,76kg,1.73,76,25.39343112,25.39
Rihanna4.jpg,1.83 m,86 kg,1.83,86,25.68007405,25.68
Marlon Brando15.jpg,1.75 m,73 kg,1.75,73,23.83673469,23.84
Linda Fiorentino16.jpg,1.73m,57kg,1.73,57,19.04507334,19.05
Mark Rylance5.jpg,1.82 m,80 kg,1.82,80,24.1516725,24.15
Patricia Neal8.jpg,1.68 m,57 kg,1.68,57,20.19557823,20.2
olivia holt5.jpg,1.73 m,78 kg,1.73,78,26.06167931,26.06
Lauren Bacall12.jpg,1.73m,57kg,1.73,57,19.04507334,19.05
Paris Jackson5.jpg,1.68 m,55 kg,1.68,55,19.48696145,19.49
Niecy Nash1.jpg,1.73 m,86 kg,1.73,86,28.73467206,28.73
Robert Duvall5.jpg,1.74 m,78 kg,1.74,78,25.76298058,25.76
Lee Grant14.jpg,1.63m,55kg,1.63,55,20.70081674,20.7
Octavia Spencer2.jpg,1.57 m,82 kg,1.57,82,33.26706966,33.27
Laura Marano6.jpg,1.55m,50kg,1.55,50,20.81165453,20.81
Macy Gray2.jpg,1.83m,66kg,1.83,66,19.70796381,19.71
Mark Strong1.jpg,1.85 m,85 kg,1.85,85,24.83564646,24.84
Robin Weigert1.jpg,1.68 m,66 kg,1.68,66,23.38435374,23.38
Phil Mickelson12.jpg,1.87 m,100 kg,1.87,100,28.59675713,28.6
Mads Mikkelsen5.jpg,1.83m,82kg,1.83,82,24.48565201,24.49
Leslie Nielsen3.jpg,1.91m,91kg,1.91,91,24.94449165,24.94
Rachel Griffiths19.jpg,1.85 m,91 kg,1.85,91,26.58875091,26.59
Olivia Newton-John14.jpg,1.57 m,52 kg,1.57,52,21.09619051,21.1
Paris Jackson13.jpg,1.68 m,55 kg,1.68,55,19.48696145,19.49
Reese Witherspoon18.jpg,1.70 m,73 kg,1.7,73,25.25951557,25.26
Robert Mitchum14.jpg,1.73 m,75 kg,1.73,75,25.05930703,25.06
Lucy Liu15.jpg,1.60m,52kg,1.6,52,20.3125,20.31
Patty Duke8.jpg,1.85 m,82 kg,1.85,82,23.95909423,23.96
Richard Harris18.jpg,1.80 m,73 kg,1.8,73,22.5308642,22.53
Lionel Messi17.jpg,1.70m,72kg,1.7,72,24.91349481,24.91
Kyle Richards19.jpg,1.65m,55kg,1.65,55,20.2020202,20.2
Mark Hamill13.jpg,1.75 m,70 kg,1.75,70,22.85714286,22.86
Queen Latifah6.jpg,1.68 m,57 kg,1.68,57,20.19557823,20.2
Margot Robbie7.jpg,1.68 m,57 kg,1.68,57,20.19557823,20.2
Kim Hunter15.jpg,1.57m,48kg,1.57,48,19.47340663,19.47
Leslie Mann19.jpg,1.69m,56kg,1.69,56,19.60715661,19.61
Peter Sellers13.jpg,1.80 m,71 kg,1.8,71,21.91358025,21.91
Pierce Brosnan11.jpg,1.77 m,70 kg,1.77,70,22.34351559,22.34
Mark Ruffalo3.jpg,1.73 m,77 kg,1.73,77,25.72755521,25.73
Olivia Thirlby19.jpg,1.63 m,58 kg,1.63,58,21.8299522,21.83
Linda Hamilton11.jpg,1.68m,59kg,1.68,59,20.90419501,20.9
Mario Lopez13.jpg,1.78 m,79 kg,1.78,79,24.93372049,24.93
Lily Tomlin4.jpg,1.73m,63kg,1.73,63,21.0498179,21.05
Liam Neeson16.jpg,1.93m,93kg,1.93,93,24.96711321,24.97
Owen Wilson13.jpg,1.75 m,75 kg,1.75,75,24.48979592,24.49
Pierce Brosnan17.jpg,1.77 m,70 kg,1.77,70,22.34351559,22.34
Ralph Fiennes12.jpg,1.68 m,57 kg,1.68,57,20.19557823,20.2
Mariah Carey7.jpg,1.70 m,66 kg,1.7,66,22.83737024,22.84
Rita Moreno16.jpg,1.68 m,54 kg,1.68,54,19.13265306,19.13
Liev Schreiber14.jpg,1.92m,84kg,1.92,84,22.78645833,22.79
Paul Walker6.jpg,1.78 m,75 kg,1.78,75,23.67125363,23.67
Paula Patton8.jpg,1.88 m,77 kg,1.88,77,21.78587596,21.79
Noomi Rapace17.jpg,1.57 m,51 kg,1.57,51,20.69049454,20.69
Marcia Gay Harden14.jpg,1.63 m,54 kg,1.63,54,20.32443826,20.32
Roberto Benigni10.jpg,1.78 m,73 kg,1.78,73,23.0400202,23.04
Patricia Clarkson12.jpg,1.60 m,58 kg,1.6,58,22.65625,22.66
Liam Hemsworth6.jpg,1.91m,89kg,1.91,89,24.39626107,24.4
Paul Rudd12.jpg,1.77 m,72 kg,1.77,72,22.98190175,22.98
Louise Fletcher1.jpg,1.70m,61kg,1.7,61,21.10726644,21.11
Lewis Hamilton2.jpg,1.74m,68kg,1.74,68,22.46003435,22.46
Ludacris6.jpg,1.73m,76kg,1.73,76,25.39343112,25.39
Lee Marvin12.jpg,1.88m,86kg,1.88,86,24.33227705,24.33
Mario Lopez11.jpg,1.78 m,79 kg,1.78,79,24.93372049,24.93
Mark Hamill7.jpg,1.75 m,70 kg,1.75,70,22.85714286,22.86
Lisa Kudrow18.jpg,1.73m,61kg,1.73,61,20.38156971,20.38
Macy Gray0.jpg,1.83m,66kg,1.83,66,19.70796381,19.71
Richard Harris9.jpg,1.80 m,73 kg,1.8,73,22.5308642,22.53
Mario Lopez9.jpg,1.78 m,79 kg,1.78,79,24.93372049,24.93
Linda Hamilton2.jpg,1.68m,59kg,1.68,59,20.90419501,20.9
Paris Hilton13.jpg,1.73 m,63 kg,1.73,63,21.0498179,21.05
Maria Menounos12.jpg,1.73 m,61 kg,1.73,61,20.38156971,20.38
Paddy Considine0.jpg,1.79 m,73 kg,1.79,73,22.78330889,22.78
Lindsey Vonn15.jpg,1.78m,73kg,1.78,73,23.0400202,23.04
Phil Mickelson0.jpg,1.87 m,100 kg,1.87,100,28.59675713,28.6
Olivia Newton-John18.jpg,1.57 m,52 kg,1.57,52,21.09619051,21.1
Paul Newman17.jpg,1.80 m,73 kg,1.8,73,22.5308642,22.53
Liam Neeson5.jpg,1.93m,93kg,1.93,93,24.96711321,24.97
Patrick Stewart2.jpg,1.70 m,59 kg,1.7,59,20.41522491,20.42
Louis Gossett Jr10.jpg,1.88m,90kg,1.88,90,25.46401086,25.46
Pam Grier5.jpg,1.78 m,80 kg,1.78,80,25.2493372,25.25
Owen Wilson10.jpg,1.75 m,75 kg,1.75,75,24.48979592,24.49
Olympia Dukakis10.jpg,1.71 m,52 kg,1.71,52,17.78324955,17.78
Luke Wilson13.jpg,1.80m,81kg,1.8,81,25.0,25.0
Richard Gere13.jpg,1.83 m,91 kg,1.83,91,27.17310162,27.17
Lenny Kravitz14.jpg,1.75m,70kg,1.75,70,22.85714286,22.86
Maggie Grace13.jpg,1.75m,56kg,1.75,56,18.28571429,18.29
Owen Wilson11.jpg,1.75 m,75 kg,1.75,75,24.48979592,24.49
Kristin Scott Thomas0.jpg,1.73m,56kg,1.73,56,18.71094925,18.71
Kim Hunter7.jpg,1.57m,48kg,1.57,48,19.47340663,19.47
Peter Sellers14.jpg,1.80 m,71 kg,1.8,71,21.91358025,21.91
Liam Neeson1.jpg,1.93m,93kg,1.93,93,24.96711321,24.97
Orlando Bloom18.jpg,1.69 m,77 kg,1.69,77,26.95984034,26.96
Penelope Cruz1.jpg,1.63 m,59 kg,1.63,59,22.20633069,22.21
Paris Jackson11.jpg,1.68 m,55 kg,1.68,55,19.48696145,19.49
Rinko Kikuchi1.jpg,1.73 m,60 kg,1.73,60,20.04744562,20.05
Logan Lerman13.jpg,1.75m,68kg,1.75,68,22.20408163,22.2
Peter Ustinov16.jpg,1.75 m,68 kg,1.75,68,22.20408163,22.2
Lara Stone14.jpg,1.78m,63kg,1.78,63,19.88385305,19.88
Paul Walker17.jpg,1.78 m,75 kg,1.78,75,23.67125363,23.67
Lesley Manville18.jpg,1.63m,60kg,1.63,60,22.58270917,22.58
Khloe Kardashian11.jpg,1.77m,76kg,1.77,76,24.25867407,24.26
Maria Menounos13.jpg,1.73 m,61 kg,1.73,61,20.38156971,20.38
Reese Witherspoon10.jpg,1.70 m,73 kg,1.7,73,25.25951557,25.26
Robin Weigert6.jpg,1.68 m,66 kg,1.68,66,23.38435374,23.38
Mandy Moore15.jpg,1.76m,59kg,1.76,59,19.04700413,19.05
Penelope Cruz4.jpg,1.63 m,59 kg,1.63,59,22.20633069,22.21
Patricia Clarkson1.jpg,1.60 m,58 kg,1.6,58,22.65625,22.66
Mark Strong5.jpg,1.85 m,85 kg,1.85,85,24.83564646,24.84
Maggie Gyllenhaal17.jpg,1.73m,59kg,1.73,59,19.71332153,19.71
Noomi Rapace5.jpg,1.57 m,51 kg,1.57,51,20.69049454,20.69
Laura Dern17.jpg,1.78m,61kg,1.78,61,19.25261962,19.25
Liam Hemsworth0.jpg,1.91m,89kg,1.91,89,24.39626107,24.4
Olivia Thirlby17.jpg,1.63 m,58 kg,1.63,58,21.8299522,21.83
Patty Duke17.jpg,1.85 m,82 kg,1.85,82,23.95909423,23.96
Red Buttons13.jpg,1.60 m,95 kg,1.6,95,37.109375,37.11
Logan Lerman11.jpg,1.75m,68kg,1.75,68,22.20408163,22.2
Ray Winstone15.jpg,1.93 m,102 kg,1.93,102,27.38328546,27.38
Owen Wilson9.jpg,1.75 m,75 kg,1.75,75,24.48979592,24.49
Piper Perabo18.jpg,1.65 m,59 kg,1.65,59,21.67125803,21.67
Mark Strong13.jpg,1.85 m,85 kg,1.85,85,24.83564646,24.84
Khloe Kardashian12.jpg,1.77m,76kg,1.77,76,24.25867407,24.26
Rihanna12.jpg,1.83 m,86 kg,1.83,86,25.68007405,25.68
Lisa Kudrow6.jpg,1.73m,61kg,1.73,61,20.38156971,20.38
Parker Posey19.jpg,1.75 m,56 kg,1.75,56,18.28571429,18.29
Lili Taylor14.jpg,1.60m,54kg,1.6,54,21.09375,21.09
Philip Seymour Hoffman12.jpg,1.91 m,91 kg,1.91,91,24.94449165,24.94
Pierce Brosnan16.jpg,1.77 m,70 kg,1.77,70,22.34351559,22.34
Lena Dunham17.jpg,1.60m,63kg,1.6,63,24.609375,24.61
Marlee Matlin13.jpg,1.65 m,54 kg,1.65,54,19.83471074,19.83
Robin Williams6.jpg,1.70 m,59 kg,1.7,59,20.41522491,20.42
Noah Mills14.jpg,1.88 m,80 kg,1.88,80,22.63467632,22.63
Owen Wilson2.jpg,1.75 m,75 kg,1.75,75,24.48979592,24.49
Linda Fiorentino2.jpg,1.73m,57kg,1.73,57,19.04507334,19.05
Leslie Nielsen16.jpg,1.91m,91kg,1.91,91,24.94449165,24.94
Lake Bell8.jpg,1.73m,59kg,1.73,59,19.71332153,19.71
Roberto Benigni1.jpg,1.78 m,73 kg,1.78,73,23.0400202,23.04
Kiefer Sutherland5.jpg,1.75m,75kg,1.75,75,24.48979592,24.49
Leslie Mann3.jpg,1.69m,56kg,1.69,56,19.60715661,19.61
Kristen Bell5.jpg,1.55m,48kg,1.55,48,19.97918835,19.98
Kevin James13.jpg,1.72m,113kg,1.72,113,38.19632234,38.2
Olga Kurylenko11.jpg,1.70 m,54 kg,1.7,54,18.68512111,18.69
Pauline Collins7.jpg,1.68 m,57 kg,1.68,57,20.19557823,20.2
Lauren Bacall6.jpg,1.73m,57kg,1.73,57,19.04507334,19.05
Robert Redford3.jpg,1.85 m,78 kg,1.85,78,22.79035793,22.79
Liev Schreiber19.jpg,1.92m,84kg,1.92,84,22.78645833,22.79
Richard Gere3.jpg,1.83 m,91 kg,1.83,91,27.17310162,27.17
Paris Hilton2.jpg,1.73 m,63 kg,1.73,63,21.0498179,21.05
Patrick Stewart15.jpg,1.70 m,59 kg,1.7,59,20.41522491,20.42
Mads Mikkelsen8.jpg,1.83m,82kg,1.83,82,24.48565201,24.49
Robert Duvall15.jpg,1.74 m,78 kg,1.74,78,25.76298058,25.76
Piper Perabo8.jpg,1.65 m,59 kg,1.65,59,21.67125803,21.67
Kevin Spacey5.jpg,1.78m,72kg,1.78,72,22.72440348,22.72
Linda Hamilton18.jpg,1.68m,59kg,1.68,59,20.90419501,20.9
Paula Patton7.jpg,1.88 m,77 kg,1.88,77,21.78587596,21.79
Peter Sellers19.jpg,1.80 m,71 kg,1.8,71,21.91358025,21.91
Kurt Russell14.jpg,1.79m,83kg,1.79,83,25.9043101,25.9
Phil Mickelson4.jpg,1.87 m,100 kg,1.87,100,28.59675713,28.6
Paul Giamatti12.jpg,1.80 m,68 kg,1.8,68,20.98765432,20.99
Logan Lerman0.jpg,1.75m,68kg,1.75,68,22.20408163,22.2
Perez Hilton12.jpg,1.68 m,58 kg,1.68,58,20.54988662,20.55
Maria Bello3.jpg,1.65 m,59 kg,1.65,59,21.67125803,21.67
Rachel McAdams14.jpg,1.78 m,66 kg,1.78,66,20.83070319,20.83
Louis Gossett Jr9.jpg,1.88m,90kg,1.88,90,25.46401086,25.46
Laura Dern19.jpg,1.78m,61kg,1.78,61,19.25261962,19.25
Ray Liotta19.jpg,1.63 m,56 kg,1.63,56,21.07719523,21.08
Peter Dinklage17.jpg,1.77 m,73 kg,1.77,73,23.30109483,23.3
Olivia Wilde9.jpg,1.63 m,52 kg,1.63,52,19.57168128,19.57
Patricia Neal11.jpg,1.68 m,57 kg,1.68,57,20.19557823,20.2
Kyle Richards2.jpg,1.65m,55kg,1.65,55,20.2020202,20.2
Patricia Arquette13.jpg,1.65 m,54 kg,1.65,54,19.83471074,19.83
Richard E. Grant7.jpg,1.65 m,68 kg,1.65,68,24.97704316,24.98
Richard Dreyfuss6.jpg,1.78 m,82 kg,1.78,82,25.88057064,25.88
Lena Headey18.jpg,1.66m,54kg,1.66,54,19.59645812,19.6
Kim Kardashian West5.jpg,1.59m,56kg,1.59,56,22.15102251,22.15
Lance Henriksen16.jpg,1.80m,75kg,1.8,75,23.14814815,23.15
Philip Seymour Hoffman3.jpg,1.91 m,91 kg,1.91,91,24.94449165,24.94
Kristen Stewart3.jpg,1.65m,54kg,1.65,54,19.83471074,19.83
Paul Newman5.jpg,1.80 m,73 kg,1.8,73,22.5308642,22.53
Olympia Dukakis9.jpg,1.71 m,52 kg,1.71,52,17.78324955,17.78
Olivia Thirlby2.jpg,1.63 m,58 kg,1.63,58,21.8299522,21.83
Lily Collins18.jpg,1.65m,51kg,1.65,51,18.73278237,18.73
Lee Grant8.jpg,1.63m,55kg,1.63,55,20.70081674,20.7
Liv Ullmann13.jpg,1.78m,64kg,1.78,64,20.19946976,20.2
Piper Laurie8.jpg,1.86 m,86 kg,1.86,86,24.85836513,24.86
Olivia Wilde5.jpg,1.63 m,52 kg,1.63,52,19.57168128,19.57
Mark Wahlberg16.jpg,1.73 m,78 kg,1.73,78,26.06167931,26.06
Lena Headey14.jpg,1.66m,54kg,1.66,54,19.59645812,19.6
Marion Cotillard6.jpg,1.69 m,57 kg,1.69,57,19.95728441,19.96
Piper Perabo19.jpg,1.65 m,59 kg,1.65,59,21.67125803,21.67
Richard Harris5.jpg,1.80 m,73 kg,1.8,73,22.5308642,22.53
Paula Patton10.jpg,1.88 m,77 kg,1.88,77,21.78587596,21.79
Luke Bryan15.jpg,1.85m,88kg,1.85,88,25.71219869,25.71
Mark Rylance13.jpg,1.82 m,80 kg,1.82,80,24.1516725,24.15
Piper Laurie17.jpg,1.86 m,86 kg,1.86,86,24.85836513,24.86
Olga Kurylenko1.jpg,1.70 m,54 kg,1.7,54,18.68512111,18.69
Kim Hunter18.jpg,1.57m,48kg,1.57,48,19.47340663,19.47
Robert Downey Jr13.jpg,1.77 m,83 kg,1.77,83,26.49302563,26.49
Lily Aldridge17.jpg,1.75m,54kg,1.75,54,17.63265306,17.63
Robin Williams5.jpg,1.70 m,59 kg,1.7,59,20.41522491,20.42
Lesley Manville7.jpg,1.63m,60kg,1.63,60,22.58270917,22.58
Peter Sarsgaard4.jpg,1.88 m,82 kg,1.88,82,23.20054323,23.2
Pixie Lott5.jpg,1.66 m,54 kg,1.66,54,19.59645812,19.6
